Track,Date,RaceNum,DogName,Box,Trainer,Grade,Dist,Actual_Place,Weight,Actual_SP,Margin,EarlySpeed,Split_Time,Actual_Time,Sire,Dam,Sex,Birthday,Sec_Per_Meter
Ballarat,30 Dec 24,1,BLINDING FAITH,1,M Quick,Tier 3 - Maiden,390,5,26.8,9.10,5.87,M,8.56,23.10,Feral Franky,Block Star,B,18 Jan 2023,0.0592307692
Ballarat,30 Dec 24,1,HARLOW'S BOY,2,S Fitzgerald,Tier 3 - Maiden,390,1,29.5,4.60,0,M,8.43,22.69,Feral Franky,Zulu Eyes,D,06 May 2022,0.0581794872
Ballarat,30 Dec 24,1,PAW FORRESTER,3,L Harris,Tier 3 - Maiden,390,6,30.6,9.70,7.97,S,8.94,23.25,Yozo Bale,Knicks Bale,D,27 Jan 2023,0.0596153846
Ballarat,30 Dec 24,1,CRACKERJACK LEE,5,J Cooper,Tier 3 - Maiden,390,2,33.8,7.30,4.03,M,8.66,22.97,Superior Panama,Maximum Kack,D,30 Nov 2022,0.0588974359
Ballarat,30 Dec 24,1,EMPTINESS,7,D Kerr,Tier 3 - Maiden,390,3,32.3,2.30,4.30,M,8.43,22.99,Bernardo,Segovia's Dream,D,11 Mar 2022,0.0589487179
Ballarat,30 Dec 24,1,TEXAS MOON,8,A King,Tier 3 - Maiden,390,4,32.3,5.50,4.57,M,8.56,23.01,Feral Franky,Barellen Pearl,D,16 Apr 2022,0.0590000000
Ballarat,30 Dec 24,2,AUTUMN ANGEL,1,T Boehmke,Tier 3 - Maiden,390,6,26.2,11.10,7.57,M,8.86,23.09,Buckle Up Wes,Lancome Lady,B,08 Dec 2021,0.0592051282
Ballarat,30 Dec 24,2,COWBOY COLD,2,W Donlon,Tier 3 - Maiden,390,4,32.1,4.80,3.93,M,8.71,22.84,Bella Infrared,Mepunga Molly,D,25 Nov 2022,0.0585641026
Ballarat,30 Dec 24,2,MR. SIN RAP,3,K Ross,Tier 3 - Maiden,390,8,33.2,21.60,10.74,S,8.90,23.31,Flying Ricciardo,Sin Rap Boom,D,23 Feb 2022,0.0597692308
Ballarat,30 Dec 24,2,BLAZIN' BON,4,A King,Tier 3 - Maiden,390,5,26.5,39.50,5.17,Q,8.46,22.92,Aston Rupee,Always Ho Ho,B,07 Oct 2022,0.0587692308
Ballarat,30 Dec 24,2,NANNA NAP,5,E Palma,Tier 3 - Maiden,390,1,26.9,2.40,0,M,8.55,22.56,Aston Fastnet,Flo Jo Focus,B,06 Feb 2023,0.0578461538
